Taxa	GO	Description	cooccurrence_Non-HIV	cooccurrence_Pre-HIV	cor_Non-HIV	cor_Pre-HIV	diff_cor	p	sign	Ontology	Definition
s__Terrisporobacter_mayombei	GO:0004829	threonine-tRNA ligase activity	137	76	0.019	0.395	0.376	0.00618836639534703	Pre-HIV+	MF	Catalysis of the reaction: ATP + L-threonine + tRNA(Thr) = AMP + diphosphate + L-threonyl-tRNA(Thr).
s__Dysosmobacter_welbionis	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	147	80	-0.511	-0.176	0.335	0.00619178809745091	Non-HIV-	MF	Catalysis of the hydrolysis of any acid anhydride which contains phosphorus.
s__Senegalimassilia_faecalis	GO:0031992	energy transducer activity	134	69	0.029	-0.366	0.395	0.00619789935124548	Pre-HIV-	MF	The biological transducer activity that accepts energy and converts it to another form, often by transfer to another molecule within the cell.
s__Prevotella_copri	GO:0006168	adenine salvage	141	80	-0.073	-0.432	0.359	0.00621944204345226	Pre-HIV-	BP	Any process that generates adenine, 6-aminopurine, from derivatives of it without de novo synthesis.
s__Prevotella_copri	GO:0003999	adenine phosphoribosyltransferase activity	141	80	-0.073	-0.432	0.359	0.00621944204346558	Pre-HIV-	MF	Catalysis of the reaction: AMP + diphosphate = adenine + 5-phospho-alpha-D-ribose 1-diphosphate.
s__Phocaeicola_vulgatus	GO:0008381	mechanosensitive ion channel activity	150	82	0.191	0.519	0.328	0.00622289107005858	Pre-HIV+	MF	Enables the transmembrane transfer of an ion by a channel that opens in response to a mechanical stress.
s__Collinsella_sp._TF05_9AC	GO:0003905	alkylbase DNA N-glycosylase activity	135	76	-0.111	-0.47	0.359	0.00622361954596506	Pre-HIV-	MF	Catalysis of the reaction: DNA with alkylated base + H2O = DNA with abasic site + alkylated base. This reaction is the hydrolysis of DNA by cleavage of the N-C1' glycosidic bond between the target damaged DNA base and the deoxyribose sugar to remove an alkylated base, leaving an apyrimidinic or apurinic site.
s__Prevotella_sp._Marseille_P4119	GO:0004644	phosphoribosylglycinamide formyltransferase activity	114	65	0.005	-0.404	0.409	0.00623163982068942	Pre-HIV-	MF	Catalysis of the reaction: 10-formyltetrahydrofolate + N1-(5-phospho-D-ribosyl)glycinamide = tetrahydrofolate + N2-formyl-N1-(5-phospho-D-ribosyl)glycinamide.
s__Megasphaera_elsdenii	GO:0004016	adenylate cyclase activity	122	71	-0.032	0.366	0.398	0.00623221882853575	Pre-HIV+	MF	Catalysis of the reaction: ATP = 3',5'-cyclic AMP + diphosphate.
s__Megasphaera_elsdenii	GO:0006171	cAMP biosynthetic process	122	71	-0.032	0.366	0.398	0.00623221882853753	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of the nucleotide cAMP (cyclic AMP, adenosine 3',5'-cyclophosphate).
s__Blautia_sp._MSJ_19	GO:0016154	pyrimidine-nucleoside phosphorylase activity	150	82	-0.064	0.308	0.371	0.00624345529865611	Pre-HIV+	MF	Catalysis of the reaction: pyrimidine nucleoside + phosphate = pyrimidine + alpha-D-ribose 1-phosphate.
s__Kineothrix_sp._MSJ_39	GO:0006488	dolichol-linked oligosaccharide biosynthetic process	150	82	-0.044	0.325	0.369	0.00625111462771111	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of dolichol-linked oligosaccharide, usually by a stepwise addition of glycosyl chains to endoplasmic reticulum membrane-bound dolichol-P.
s__Phocaeicola_vulgatus	GO:0052689	carboxylic ester hydrolase activity	150	81	0.231	0.55	0.319	0.00627115436175196	Pre-HIV+	MF	Catalysis of the hydrolysis of a carboxylic ester bond.
s__Blautia_sp._MSJ_19	GO:0043772	acyl-phosphate glycerol-3-phosphate acyltransferase activity	150	82	0.16	0.495	0.335	0.00627606514865819	Pre-HIV+	MF	Catalysis of the reaction: acyl phosphate + sn-glycerol 3-phosphate = 1-acyl-sn-glycerol 3-phosphate + orthophosphate.
s__Faecalibacterium_sp._CLA_AA_H233	GO:0008721	D-serine ammonia-lyase activity	150	81	-0.022	0.346	0.368	0.0062776751853777	Pre-HIV+	MF	Catalysis of the reaction: D-serine = pyruvate + NH3.
s__Paratractidigestivibacter_faecalis	GO:0019354	siroheme biosynthetic process	131	74	-0.448	-0.078	0.37	0.00627996084324733	Non-HIV-	BP	The chemical reactions and pathways resulting in the formation of siroheme, a tetrahydroporphyrin with adjacent, reduced pyrrole rings.
s__Mediterraneibacter_glycyrrhizinilyticus	GO:0008883	glutamyl-tRNA reductase activity	151	82	0.351	-0.014	0.365	0.0062821091069809	Non-HIV+	MF	Catalysis of the reaction: (S)-4-amino-5-oxopentanoate + NADP(+) + tRNA(Glu) = L-glutamyl-tRNA(Glu) + H(+) + NADPH.
s__Holdemanella_porci	GO:0032259	methylation	140	80	-0.118	-0.468	0.35	0.00628379349219044	Pre-HIV-	BP	The process in which a methyl group is covalently attached to a molecule.
s__Prevotella_sp._Marseille_P4119	GO:0008033	tRNA processing	114	65	-0.03	-0.432	0.403	0.00629199837297301	Pre-HIV-	BP	The process in which a pre-tRNA molecule is converted to a mature tRNA, ready for addition of an aminoacyl group.
s__Dorea_sp._AF36_15AT	GO:0003998	acylphosphatase activity	150	80	0.191	0.521	0.33	0.00629239272165538	Pre-HIV+	MF	Catalysis of the reaction: an acyl phosphate + H2O = a carboxylate + phosphate.
s__Bifidobacterium_longum	GO:0009389	dimethyl sulfoxide reductase activity	122	67	-0.067	0.342	0.409	0.00629521783568832	Pre-HIV+	MF	Catalysis of the reaction: dimethyl sulfoxide + H+ = dimethyl sulfide + H2O.
s__Dorea_sp._AF24_7LB	GO:0050897	cobalt ion binding	143	78	-0.029	0.347	0.376	0.00630591771601807	Pre-HIV+	MF	Interacting selectively and non-covalently with a cobalt (Co) ion.
s__Prevotella_sp._Marseille_P4119	GO:0009341	beta-galactosidase complex	114	65	0.073	0.467	0.394	0.00631185320581751	Pre-HIV+	CC	A protein complex that possesses beta-galactosidase activity, i.e. catalyzes the hydrolysis of terminal non-reducing beta-D-galactose residues in beta-D-galactosides. In E. coli, the complex is a homotetramer; dimeric and hexameric beta-galactosidase complexes have been observed in other species.
s__Blautia_ammoniilytica	GO:0004197	cysteine-type endopeptidase activity	150	82	0.051	-0.318	0.369	0.00631417335419338	Pre-HIV-	MF	Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile.
s__Clostridium_sp._D43t1_170807_H7	GO:0032955	regulation of division septum assembly	116	65	-0.121	0.301	0.421	0.0063158069339011	Pre-HIV+	BP	Any process that modulates the frequency, rate or extent of division septum formation. division septum formation is the assembly and arrangement of a septum that spans the plasma membrane interface between progeny cells following cytokinesis.
s__Mitsuokella_jalaludinii	GO:0006450	regulation of translational fidelity	131	73	-0.013	-0.396	0.383	0.00631794908474625	Pre-HIV-	BP	Any process that modulates the ability of the translational apparatus to interpret the genetic code.
s__Phascolarctobacterium_sp._Marseille_Q4147	GO:0035435	phosphate ion transmembrane transport	119	68	-0.2	-0.555	0.355	0.00632286853534714	Pre-HIV-	BP	The process in which a phosphate is transported across a membrane.
s__Coprococcus_eutactus	GO:0019008	molybdopterin synthase complex	151	82	0.036	-0.332	0.367	0.00634248580415853	Pre-HIV-	CC	A protein complex that possesses molybdopterin synthase activity. In E. coli, the complex is a heterotetramer consisting of two MoaD and two MoaE subunits.
s__Ruminococcus_torques	GO:0070588	calcium ion transmembrane transport	151	82	-0.217	-0.537	0.321	0.00635042257773621	Pre-HIV-	BP	A process in which a calcium ion is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.
s__Negativibacillus_massiliensis	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	136	76	0.061	-0.324	0.385	0.00635138407905989	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of pyrimidine nucleobases, 1,3-diazine, organic nitrogenous bases, beginning with the synthesis of a pyrimidine ring from simpler precursors.
s__Intestinimonas_sp._MSJ_38	GO:1903401	L-lysine transmembrane transport	149	82	0.241	0.556	0.315	0.00635311569268215	Pre-HIV+	BP	The directed movement of L-lysine across a membrane.
s__Intestinimonas_sp._MSJ_38	GO:0015661	L-lysine efflux transmembrane transporter activity	149	82	0.241	0.556	0.315	0.00635311569268238	Pre-HIV+	MF	Enables the transfer of L-lysine from the inside of the cell to the outside of the cell across a membrane.
s__Roseburia_faecis	GO:0044237	cellular metabolic process	151	82	-0.043	-0.4	0.357	0.00635382644620086	Pre-HIV-	BP	The chemical reactions and pathways by which individual cells transform chemical substances.
s__Blautia_wexlerae	GO:0047151	methylenetetrahydrofolate-tRNA-(uracil-5-)-methyltransferase (FADH2-oxidizing) activity	151	82	-0.485	-0.148	0.337	0.00635402987683786	Non-HIV-	MF	Catalysis of the reaction: 5,10-methylenetetrahydrofolate + tRNA containing uridine at position 54 + FADH + H+ = tetrahydrofolate + tRNA containing ribothymidine at position 54 + FAD+.
s__Oscillibacter_sp._ER4	GO:0042398	cellular modified amino acid biosynthetic process	147	82	0.02	-0.347	0.367	0.00635849927769438	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of compounds derived from amino acids, organic acids containing one or more amino substituents.
s__Roseburia_inulinivorans	GO:0006308	DNA catabolic process	150	82	-0.182	-0.511	0.329	0.00635965403607197	Pre-HIV-	BP	The cellular DNA metabolic process resulting in the breakdown of DNA, deoxyribonucleic acid, one of the two main types of nucleic acid, consisting of a long unbranched macromolecule formed from one or two strands of linked deoxyribonucleotides, the 3'-phosphate group of each constituent deoxyribonucleotide being joined in 3',5'-phosphodiester linkage to the 5'-hydroxyl group of the deoxyribose moiety of the next one.
s__Blautia_sp._OF03_15BH	GO:0008909	isochorismate synthase activity	149	81	-0.004	-0.369	0.364	0.00636779395983411	Pre-HIV-	MF	Catalysis of the reaction: chorismate = isochorismate.
s__Absicoccus_porci	GO:0005515	protein binding	94	65	-0.303	0.135	0.439	0.00637571269123804	Non-HIV-	MF	Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules).
s__Vescimonas_fastidiosa	GO:0019867	outer membrane	146	82	0.209	0.533	0.324	0.00637928582765435	Pre-HIV+	CC	The external membrane of Gram-negative bacteria or certain organelles such as mitochondria and chloroplasts; freely permeable to most ions and metabolites.
s__Bacteroides_ovatus	GO:0015209	cytosine transmembrane transporter activity	147	75	-0.135	-0.485	0.35	0.00638269563514737	Pre-HIV-	MF	Enables the transfer of cytosine, 4-amino-2-hydroxypyrimidine from one side of a membrane to the other.
s__Alistipes_putredinis	GO:0043755	alpha-ribazole phosphatase activity	126	61	0.369	-0.047	0.416	0.00639216904779105	Non-HIV+	MF	Catalysis of the reaction: alpha-ribazole 5'-phosphate + H(2)O = alpha-ribazole + phosphate.
s__Roseburia_inulinivorans	GO:0048500	signal recognition particle	150	82	-0.085	-0.435	0.35	0.00639221628010556	Pre-HIV-	CC	A complex of protein and RNA which facilitates translocation of proteins across membranes.
s__Oscillibacter_valericigenes	GO:0006207	'de novo' pyrimidine nucleobase biosynthetic process	151	82	0.363	0.001	0.363	0.00639287153896961	Non-HIV+	BP	The chemical reactions and pathways resulting in the formation of pyrimidine nucleobases, 1,3-diazine, organic nitrogenous bases, beginning with the synthesis of a pyrimidine ring from simpler precursors.
s__Simiaoa_sunii	GO:0003949	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase activity	148	81	-0.038	-0.398	0.36	0.00639992359015951	Pre-HIV-	MF	Catalysis of the reaction: 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide = 5-[(5-phospho-1-deoxy-D-ribulos-1-ylimino)methylamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide.
s__Mediterraneibacter_glycyrrhizinilyticus	GO:0000902	cell morphogenesis	151	82	0.05	-0.319	0.368	0.00639998763416427	Pre-HIV-	BP	The developmental process in which the size or shape of a cell is generated and organized.
s__Pseudoflavonifractor_phocaeensis	GO:0044010	single-species biofilm formation	151	82	-0.04	0.327	0.367	0.00640031420360154	Pre-HIV+	BP	A process in which planktonically growing microorganisms of the same species grow at a liquid-air interface or on a solid substrate under the flow of a liquid and produce extracellular polymers that facilitate matrix formation, resulting in a change in the organisms' growth rate and gene transcription.
s__Blautia_faecis	GO:0015942	formate metabolic process	151	82	0.082	0.431	0.35	0.00640933662669774	Pre-HIV+	BP	The chemical reactions and pathways involving formate, also known as methanoate, the anion HCOO- derived from methanoic (formic) acid.
s__Blautia_wexlerae	GO:0006425	glutaminyl-tRNA aminoacylation	151	82	-0.101	-0.448	0.346	0.00640960002437962	Pre-HIV-	BP	The process of coupling glutamine to glutaminyl-tRNA, catalyzed by glutaminyl-tRNA synthetase. The glutaminyl-tRNA synthetase is a  class-I synthetase. The activated amino acid is transferred to the 2'-OH group of a glutamine-accetping tRNA. The 2'-O-aminoacyl-tRNA will ultimately migrate to the 3' position via transesterification.
s__Blautia_wexlerae	GO:0004819	glutamine-tRNA ligase activity	151	82	-0.101	-0.448	0.346	0.00640960002438762	Pre-HIV-	MF	Catalysis of the reaction: ATP + L-glutamine + tRNA(Gln) = AMP + diphosphate + L-glutaminyl-tRNA(Gln).
s__Vescimonas_coprocola	GO:0004197	cysteine-type endopeptidase activity	150	82	0.003	0.366	0.363	0.00641175304140273	Pre-HIV+	MF	Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile.
s__Ruminococcus_sp._M6_2020	GO:0097367	carbohydrate derivative binding	150	82	-0.031	-0.389	0.359	0.00642789657502219	Pre-HIV-	MF	Interacting selectively and non-covalently with a carbohydrate derivative.
s__Blautia_obeum	GO:0005351	carbohydrate:proton symporter activity	151	82	0.073	0.424	0.351	0.0064434250812313	Pre-HIV+	MF	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: sugar(out) + H+(out) = sugar(in) + H+(in).
s__Oribacterium_sp._oral_taxon_102	GO:0004045	aminoacyl-tRNA hydrolase activity	145	80	0.319	-0.055	0.374	0.00644412927011984	Non-HIV+	MF	Catalysis of the reaction: N-substituted aminoacyl-tRNA + H2O = N-substituted amino acid + tRNA.
s__Intestinimonas_sp._MSJ_38	GO:0035435	phosphate ion transmembrane transport	149	82	-0.094	-0.442	0.348	0.00644631174338395	Pre-HIV-	BP	The process in which a phosphate is transported across a membrane.
s__Mediterraneibacter_glycyrrhizinilyticus	GO:0030488	tRNA methylation	151	82	-0.035	0.332	0.366	0.00645275045802274	Pre-HIV+	BP	The posttranscriptional addition of methyl groups to specific residues in a tRNA molecule.
s__Vescimonas_coprocola	GO:0043565	sequence-specific DNA binding	150	82	-0.36	0.003	0.363	0.00645297041077231	Non-HIV-	MF	Interacting selectively and non-covalently with DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.
s__Anthropogastromicrobium_aceti	GO:0016829	lyase activity	150	82	0.098	0.445	0.347	0.00646483473356096	Pre-HIV+	MF	Catalysis of the cleavage of C-C, C-O, C-N and other bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond. They differ from other enzymes in that two substrates are involved in one reaction direction, but only one in the other direction. When acting on the single substrate, a molecule is eliminated and this generates either a new double bond or a new ring.
s__Holdemanella_porci	GO:0006508	proteolysis	140	80	-0.002	-0.371	0.369	0.00646859200957528	Pre-HIV-	BP	The hydrolysis of proteins into smaller polypeptides and/or amino acids by cleavage of their peptide bonds.
s__Phascolarctobacterium_succinatutens	GO:0016410	N-acyltransferase activity	122	68	0.196	0.55	0.354	0.00646957552716287	Pre-HIV+	MF	Catalysis of the transfer of an acyl group to a nitrogen atom on the acceptor molecule.
s__Blautia_obeum	GO:0047200	tetrahydrodipicolinate N-acetyltransferase activity	151	82	-0.065	0.304	0.369	0.00647008523532966	Pre-HIV+	MF	Catalysis of the reaction: (S)-2,3,4,5-tetrahydrodipicolinate + acetyl-CoA + H(2)O = L-2-acetamido-6-oxopimelate + CoA.
s__Parolsenella_massiliensis	GO:0006568	tryptophan metabolic process	120	74	-0.436	-0.057	0.378	0.00647645066693858	Non-HIV-	BP	The chemical reactions and pathways involving tryptophan, the chiral amino acid 2-amino-3-(1H-indol-3-yl)propanoic acid.
s__Senegalimassilia_faecalis	GO:0004494	methylmalonyl-CoA mutase activity	127	65	-0.111	-0.489	0.378	0.00648094588962222	Pre-HIV-	MF	Catalysis of the reaction: (R)-methylmalonyl-CoA = succinyl-CoA.
s__Blautia_ammoniilytica	GO:0016793	triphosphoric monoester hydrolase activity	150	82	0.034	-0.333	0.367	0.00648127025755474	Pre-HIV-	MF	Catalysis of the hydrolysis of a triphosphoester to give a triphosphate group and a free hydroxyl group.
s__Senegalimassilia_anaerobia	GO:0030694	bacterial-type flagellum basal body, rod	144	78	-0.087	-0.443	0.356	0.00649290590823592	Pre-HIV-	CC	The central portion of the bacterial-type flagellar basal body, which spans the periplasm and threads through the rings.
s__Suilimivivens_aceti	GO:0047669	amylosucrase activity	150	82	-0.185	-0.513	0.328	0.00649480468457919	Pre-HIV-	MF	Catalysis of the reaction: sucrose + 1,4-alpha-D-glucosyl(n) = D-fructose + 1,4-alpha-D-glucosyl(n+1).
s__Ruminococcus_flavefaciens	GO:0015385	sodium:proton antiporter activity	149	82	-0.04	-0.397	0.357	0.00650042945579776	Pre-HIV-	MF	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: Na+(out) + H+(in) = Na+(in) + H+(out).
s__Prevotella_sp._Marseille_P4119	GO:0004386	helicase activity	114	65	0.098	0.485	0.387	0.00650283844008315	Pre-HIV+	MF	Catalysis of the reaction: NTP + H2O = NDP + phosphate, to drive the unwinding of a DNA or RNA helix.
s__Vescimonas_coprocola	GO:0004135	amylo-alpha-1,6-glucosidase activity	150	82	0.089	0.437	0.348	0.00651083593279478	Pre-HIV+	MF	Catalysis of the hydrolysis of (1->6)-alpha-D-glucosidic branch linkages in glycogen phosphorylase limit dextrin. Limit dextrin is the highly branched core that remains after exhaustive treatment of glycogen with glycogen phosphorylase. It is formed because these enzymes cannot hydrolyze the (1->6) glycosidic linkages present.
s__Ruminococcus_flavefaciens	GO:0004459	L-lactate dehydrogenase activity	149	82	-0.155	-0.49	0.335	0.00651456968479036	Pre-HIV-	MF	Catalysis of the reaction: (S)-lactate + NAD+ = pyruvate + NADH + H+.
s__Simiaoa_sunii	GO:0003861	3-isopropylmalate dehydratase activity	148	81	-0.186	-0.516	0.329	0.00651510105619701	Pre-HIV-	MF	Catalysis of the reaction: (2R,3S)-3-isopropylmalate = (2S)-2-isopropylmalate.
s__Absicoccus_porci	GO:0004113	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	94	65	0.403	-0.02	0.424	0.0065254639362875	Non-HIV+	MF	Catalysis of the reaction: nucleoside 2',3'-cyclic phosphate + H2O = nucleoside 2'-phosphate.
s__Absicoccus_porci	GO:0008664	2'-5'-RNA ligase activity	94	65	0.403	-0.02	0.424	0.00652546393628795	Non-HIV+	MF	Catalysis of the formation of a phosphodiester bond between the 2'-hydroxyl group at the end of one DNA chain and the 5'-phosphate group at the end of another.
s__Negativibacillus_massiliensis	GO:0004357	glutamate-cysteine ligase activity	136	76	-0.016	-0.39	0.374	0.00653174626555519	Pre-HIV-	MF	Catalysis of the reaction: L-cysteine + L-glutamate + ATP = L-gamma-glutamyl-L-cysteine + ADP + 2 H(+) + phosphate.
s__Blautia_obeum	GO:0042586	peptide deformylase activity	151	82	0.027	0.385	0.358	0.00653701417138652	Pre-HIV+	MF	Catalysis of the reaction: formyl-L-methionyl peptide + H2O = formate + methionyl peptide.
s__Mediterraneibacter_butyricigenes	GO:0016791	phosphatase activity	151	81	-0.008	-0.37	0.362	0.00653746839113123	Pre-HIV-	MF	Catalysis of the hydrolysis of phosphoric monoesters, releasing inorganic phosphate.
s__Dorea_ammoniilytica	GO:0008137	NADH dehydrogenase (ubiquinone) activity	150	80	0.039	-0.331	0.37	0.00653933156810727	Pre-HIV-	MF	Catalysis of the reaction: NADH + H+ + ubiquinone = NAD+ + ubiquinol.
s__Blautia_ammoniilytica	GO:0008935	1,4-dihydroxy-2-naphthoyl-CoA synthase activity	149	81	-0.008	-0.371	0.363	0.00654046285801324	Pre-HIV-	MF	Catalysis of the reaction: 4-(2-carboxyphenyl)-4-oxobutanoyl-CoA = 1,4-dihydroxy-2-napthoyl-CoA + H2O.
s__Dorea_sp._AM13_35	GO:0015444	magnesium-importing ATPase activity	129	71	0.011	0.397	0.386	0.00654073496098828	Pre-HIV+	MF	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + Mg2+(out) -> ADP + phosphate + Mg2+(in).
s__Anaerobutyricum_hallii	GO:0006561	proline biosynthetic process	151	82	0.008	0.368	0.361	0.00654104253544108	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of proline (pyrrolidine-2-carboxylic acid), a chiral, cyclic, nonessential alpha-amino acid found in peptide linkage in proteins.
s__Phascolarctobacterium_succinatutens	GO:0016829	lyase activity	122	69	0.012	0.405	0.393	0.00654360693209477	Pre-HIV+	MF	Catalysis of the cleavage of C-C, C-O, C-N and other bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond. They differ from other enzymes in that two substrates are involved in one reaction direction, but only one in the other direction. When acting on the single substrate, a molecule is eliminated and this generates either a new double bond or a new ring.
s__Blautia_sp._Marseille_P3087	GO:0016887	ATPase activity	150	82	-0.01	0.354	0.363	0.0065487828247377	Pre-HIV+	MF	Catalysis of the reaction: ATP + H2O = ADP + phosphate + 2 H+. May or may not be coupled to another reaction.
s__Prevotellamassilia_timonensis	GO:0046522	S-methyl-5-thioribose kinase activity	108	59	0.038	-0.39	0.428	0.00654968142538004	Pre-HIV-	MF	Catalysis of the reaction: S-methyl-5-thio-D-ribose + ATP = S-methyl-5-thio-alpha-D-ribose 1-phosphate + ADP + 2 H(+).
s__Megasphaera_elsdenii	GO:0004650	polygalacturonase activity	122	71	0.05	0.433	0.383	0.0065529600892027	Pre-HIV+	MF	Catalysis of the random hydrolysis of (1->4)-alpha-D-galactosiduronic linkages in pectate and other galacturonans.
s__Holdemanella_sp._MSK_7_32	GO:0019288	isopentenyl diphosphate biosynthetic process, methylerythritol 4-phosphate pathway	137	81	-0.072	-0.43	0.357	0.00655595829672606	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of isopentenyl diphosphate by the mevalonate-independent pathway. Isopentenyl diphosphate (IPP) is the fundamental unit in isoprenoid biosynthesis and is biosynthesized from pyruvate and glyceraldehyde 3-phosphate via intermediates, including 1-deoxy-D-xylulose 5-phosphate.
s__Holdemanella_sp._MSK_7_32	GO:0051745	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity	137	81	-0.072	-0.43	0.357	0.00655595829673183	Pre-HIV-	MF	Catalysis of the reaction: (E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate + NAD(P)H + H+ = isopentenyl diphosphate + NAD(P)+ + H2O. Note that (E)-4-hydroxy-3-methylbut-2-en-1-yl diphosphate is an alternative name for 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate.
s__Holdemanella_sp._MSK_7_32	GO:0050992	dimethylallyl diphosphate biosynthetic process	137	81	-0.072	-0.43	0.357	0.0065559582967436	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of dimethylallyl diphosphate.
s__Phascolarctobacterium_succinatutens	GO:0004844	uracil DNA N-glycosylase activity	122	69	0.094	-0.312	0.406	0.00656304678792385	Pre-HIV-	MF	Catalysis of the cleavage of the N-C1' glycosidic bond between the damaged DNA base and the deoxyribose sugar, releasing a free base and leaving an apyrimidinic (AP) site. Enzymes with this activity recognize and remove uracil bases in DNA that result from the deamination of cytosine or the misincorporation of dUTP opposite an adenine.
s__Terrisporobacter_mayombei	GO:0042558	pteridine-containing compound metabolic process	137	76	0.345	-0.036	0.381	0.00657754588895698	Non-HIV+	BP	The chemical reactions and pathways involving any compound containing pteridine (pyrazino(2,3-dipyrimidine)), e.g. pteroic acid, xanthopterin and folic acid.
s__Prevotella_copri	GO:0017076	purine nucleotide binding	141	80	-0.061	0.315	0.375	0.00658209725472547	Pre-HIV+	MF	Interacting selectively and non-covalently with purine nucleotides, any compound consisting of a purine nucleoside esterified with (ortho)phosphate.
s__Dorea_ammoniilytica	GO:0015444	magnesium-importing ATPase activity	150	80	-0.064	0.308	0.372	0.00658215941476148	Pre-HIV+	MF	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + Mg2+(out) -> ADP + phosphate + Mg2+(in).
s__Roseburia_faecis	GO:0034220	ion transmembrane transport	151	82	-0.462	-0.12	0.341	0.00658649313762161	Non-HIV-	BP	A process in which an ion is transported across a membrane.
s__Mediterraneibacter_glycyrrhizinilyticus	GO:0004471	malate dehydrogenase (decarboxylating) (NAD+) activity	151	82	-0.015	-0.374	0.359	0.00659226047567207	Pre-HIV-	MF	Catalysis of the reaction: (S)-malate + NAD+ = pyruvate + CO2 + NADH + H+.
s__Suilimivivens_aceti	GO:0006284	base-excision repair	150	82	-0.153	-0.487	0.335	0.00659367399707889	Pre-HIV-	BP	In base excision repair, an altered base is removed by a DNA glycosylase enzyme, followed by excision of the resulting sugar phosphate. The small gap left in the DNA helix is filled in by the sequential action of DNA polymerase and DNA ligase.
s__Prevotella_copri	GO:0016746	transferase activity, transferring acyl groups	141	80	0.126	0.473	0.346	0.00659430360762525	Pre-HIV+	MF	Catalysis of the transfer of an acyl group from one compound (donor) to another (acceptor).
s__Phocaeicola_vulgatus	GO:0032259	methylation	150	82	-0.006	0.356	0.363	0.00659833982796565	Pre-HIV+	BP	The process in which a methyl group is covalently attached to a molecule.
s__Oscillibacter_sp._MCC667	GO:0050661	NADP binding	150	81	-0.269	-0.576	0.307	0.00660533677117892	Pre-HIV-	MF	Interacting selectively and non-covalently with nicotinamide-adenine dinucleotide phosphate, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NADP+, or the reduced form, NADPH.
s__Vescimonas_coprocola	GO:0004357	glutamate-cysteine ligase activity	150	82	0.034	-0.331	0.366	0.00660816936690356	Pre-HIV-	MF	Catalysis of the reaction: L-cysteine + L-glutamate + ATP = L-gamma-glutamyl-L-cysteine + ADP + 2 H(+) + phosphate.
s__Prevotella_stercorea	GO:0004450	isocitrate dehydrogenase (NADP+) activity	133	73	0.028	0.406	0.378	0.00661283062114126	Pre-HIV+	MF	Catalysis of the reaction: isocitrate + NADP+ = 2-oxoglutarate + CO2 + NADPH + H+.
s__Faecalibacterium_sp._HTFF	GO:0031554	regulation of DNA-templated transcription, termination	151	81	0.398	0.042	0.357	0.0066209569416682	Non-HIV+	BP	Any process that modulates the frequency, rate, extent, or location of DNA-templated transcription termination, the process in which transcription is completed; the formation of phosphodiester bonds ceases, the RNA-DNA hybrid dissociates, and RNA polymerase releases the DNA.
s__Dorea_sp._AF36_15AT	GO:0030151	molybdenum ion binding	150	80	0.142	0.481	0.34	0.00662158046113204	Pre-HIV+	MF	Interacting selectively and non-covalently with molybdenum (Mo) ions.
s__Adlercreutzia_equolifaciens	GO:0008914	leucyltransferase activity	141	79	-0.024	-0.39	0.366	0.00663118625497638	Pre-HIV-	MF	Catalysis of the reaction: L-leucyl-tRNA + protein = tRNA + L-leucyl-protein.
s__Paratractidigestivibacter_faecalis	GO:0042301	phosphate ion binding	131	74	0.631	0.329	0.302	0.00663469907275682	Non-HIV+	MF	Interacting selectively and non-covalently with phosphate.
